Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year
The Jackson 5,5,2,27-Feb,Mama's Pearl,13-Feb,1971
Gordon Lightfoot,5,5,20-Feb,If You Could Read My Mind,20-Feb,1971
Wadsworth Mansion,3,7,27-Feb,Sweet Mary,20-Feb,1971
Nitty Gritty Dirt Band,3,9,20-Feb,Mr. Bojangles,20-Feb,1971
Janis Joplin,8,1,20-Mar,Me and Bobby McGee,27-Feb,1971
Jerry Reed,2,8,27-Feb,Amos Moses,27-Feb,1971
The Temptations,9,1,3-Apr,Just My Imagination (Running Away with Me),6-Mar,1971
Tom Jones,8,2,20-Mar,She's a Lady,6-Mar,1971
The Carpenters,7,3,13-Mar,For All We Know,6-Mar,1971
Ike & Tina Turner,5,4,27-Mar,Proud Mary,13-Mar,1971
The Partridge Family,6,6,27-Mar,Doesn't Somebody Want to Be Wanted,13-Mar,1971
Creedence Clearwater Revival,1,8,13-Mar,"Have You Ever Seen the Rain?"" / ""Hey Tonight",13-Mar,1971
Marvin Gaye,8,2,10-Apr,What's Going On,20-Mar,1971
Sammi Smith,3,8,27-Mar,Help Me Make It Through the Night,20-Mar,1971
George Harrison,1,10,27-Mar,What Is Life,27-Mar,1971
Paul McCartney,5,5,17-Apr,"Another Day"" / ""Oh Woman, Oh Why",3-Apr,1971
Andy Williams,1,9,3-Apr,(Where Do I Begin?) Love Story,3-Apr,1971
Three Dog Night,11,1,17-Apr,Joy to the World,10-Apr,1971
Brewer & Shipley,2,10,10-Apr,One Toke Over the Line,10-Apr,1971
Ocean,7,2,1-May,Put Your Hand in the Hand,17-Apr,1971
The Jackson 5,7,2,8-May,Never Can Say Goodbye,24-Apr,1971
Neil Diamond,4,4,8-May,I Am... I Said,24-Apr,1971
Bread,5,4,15-May,If,24-Apr,1971
The Bells,4,7,1-May,Stay Awhile,24-Apr,1971
Daddy Dewdrop,5,9,8-May,Chick-A-Boom (Don't Ya Jes' Love It),1-May,1971
Lobo,5,5,15-May,Me and You and a Dog Named Boo,8-May,1971
Aretha Franklin,6,6,5-Jun,"Bridge over Troubled Water"" / ""A Brand New Me",8-May,1971
The Rolling Stones,8,1,29-May,Brown Sugar,15-May,1971
Honey Cone,8,1,12-Jun,Want Ads,22-May,1971
Ringo Starr,7,4,5-Jun,It Don't Come Easy,22-May,1971
Donny Osmond,5,7,5-Jun,Sweet and Innocent,29-May,1971
Carole King,10,1,19-Jun,"It's Too Late"" / ""I Feel the Earth Move",5-Jun,1971
The Carpenters,7,2,19-Jun,Rainy Days and Mondays,5-Jun,1971
Cornelius Brothers & Sister Rose,7,3,3-Jul,Treat Her Like a Lady,12-Jun,1971
The Partridge Family,2,9,12-Jun,I'll Meet You Halfway,12-Jun,1971
The Raiders,9,1,24-Jul,Indian Reservation (The Lament of the Cherokee Reservation Indian),19-Jun,1971
"Hamilton, Joe Frank & Reynolds",6,4,17-Jul,Don't Pull Your Love,26-Jun,1971
Jerry Reed,3,9,26-Jun,"When You're Hot, You're Hot",26-Jun,1971
James Taylor,8,1,31-Jul,You've Got a Friend,3-Jul,1971
Jean Knight,8,2,14-Aug,Mr. Big Stuff,10-Jul,1971
Carly Simon,2,10,10-Jul,That's the Way I've Always Heard It Should Be,10-Jul,1971
Bee Gees,10,1,7-Aug,How Can You Mend a Broken Heart,17-Jul,1971
Tommy James,6,4,14-Aug,Draggin' the Line,17-Jul,1971
John Denver,8,2,28-Aug,"Take Me Home, Country Roads",24-Jul,1971
The Grass Roots,2,9,31-Jul,Sooner or Later,24-Jul,1971
Tom Clay,3,8,14-Aug,"What the World Needs Now Is Love/Abraham, Martin and John",31-Jul,1971
Marvin Gaye,4,4,21-Aug,Mercy Mercy Me (The Ecology),7-Aug,1971
Chicago,3,7,14-Aug,"Beginnings"" / ""Colour My World",7-Aug,1971
Five Man Electrical Band,5,3,28-Aug,Signs,14-Aug,1971
Creedence Clearwater Revival,2,6,21-Aug,Sweet Hitch-Hiker,21-Aug,1971
Three Dog Night,3,7,28-Aug,Liar,21-Aug,1971
Donny Osmond,9,1,11-Sep,Go Away Little Girl,28-Aug,1971
Aretha Franklin,6,2,11-Sep,Spanish Harlem,28-Aug,1971
The Undisputed Truth,6,3,4-Sep,Smiling Faces Sometimes,28-Aug,1971
Paul and Linda McCartney,7,1,4-Sep,Uncle Albert/Admiral Halsey,4-Sep,1971
Bill Withers,6,3,18-Sep,Ain't No Sunshine,4-Sep,1971
Rare Earth,4,7,11-Sep,I Just Want to Celebrate,4-Sep,1971
Rod Stewart,11,1,2-Oct,"Maggie May"" / ""Reason to Believe",11-Sep,1971
Joan Baez,8,3,2-Oct,The Night They Drove Old Dixie Down,18-Sep,1971
The Dramatics,2,9,25-Sep,Whatcha See Is Whatcha Get,18-Sep,1971
The Carpenters,8,2,16-Oct,Superstar,25-Sep,1971
The Osmonds,8,3,16-Oct,Yo-Yo,2-Oct,1971
Lee Michaels,5,6,9-Oct,Do You Know What I Mean,2-Oct,1971
Stevie Wonder,3,8,16-Oct,If You Really Love Me,9-Oct,1971
The Stampeders,3,8,23-Oct,Sweet City Woman,9-Oct,1971
Cher,9,1,6-Nov,"Gypsys, Tramps & Thieves",16-Oct,1971
Isaac Hayes,9,1,20-Nov,Theme from Shaft,23-Oct,1971
John Lennon,6,3,13-Nov,Imagine,30-Oct,1971
Cat Stevens,5,7,6-Nov,Peace Train,30-Oct,1971
The Free Movement,3,5,13-Nov,I've Found Someone of My Own,30-Oct,1971
Marvin Gaye,2,9,6-Nov,Inner City Blues (Make Me Wanna Holler),6-Nov,1971
The Chi-Lites,8,3,11-Dec,Have You Seen Her,13-Nov,1971
Sly and the Family Stone,9,1,4-Dec,Family Affair,20-Nov,1971
Bread,5,3,27-Nov,Baby I'm-a Want You,20-Nov,1971
Michael Jackson,9,4,11-Dec,Got to Be There,20-Nov,1971
Les Crane,3,8,4-Dec,Desiderata,27-Nov,1971
Aretha Franklin,2,9,27-Nov,Rock Steady,27-Nov,1971
Three Dog Night,5,4,18-Dec,An Old Fashioned Love Song,4-Dec,1971
Melanie,10,1,25-Dec,Brand New Key,11-Dec,1971
Sonny & Cher,3,7,25-Dec,All I Ever Need Is You,11-Dec,1971
David Cassidy,4,9,25-Dec,Cherish,18-Dec,1971
Don McLean,11,1,15-Jan,American Pie,18-Dec,1972
Dennis Coffey,6,6,8-Jan,Scorpio,25-Dec,1972
Donny Osmond,4,9,15-Jan,"Hey Girl""/""I Knew You When",25-Dec,1972
Jonathan Edwards,6,4,15-Jan,Sunshine,1-Jan,1972
Al Green,9,1,12-Feb,Let's Stay Together,8-Jan,1972
The New Seekers,3,7,15-Jan,I'd Like to Teach the World to Sing (in Perfect Harmony),8-Jan,1972
Betty Wright,3,6,29-Jan,Clean Up Woman,15-Jan,1972
Badfinger,4,4,5-Feb,Day After Day,22-Jan,1972
The Stylistics,2,9,22-Jan,You Are Everything,22-Jan,1972
The Jackson 5,2,10,22-Jan,Sugar Daddy,22-Jan,1972
Three Dog Night,4,5,12-Feb,Never Been to Spain,29-Jan,1972
Nilsson,9,1,19-Feb,Without You,5-Feb,1972
The Carpenters,6,2,26-Feb,Hurting Each Other,5-Feb,1972
Climax,7,3,26-Feb,Precious and Few,5-Feb,1972
Apollo 100,4,6,26-Feb,Joy,5-Feb,1972
The Osmonds,6,4,4-Mar,Down by the Lazy River,12-Feb,1972
Robert John,8,3,11-Mar,The Lion Sleeps Tonight,19-Feb,1972
Bread,6,5,4-Mar,Everything I Own,19-Feb,1972
Carole King,2,9,4-Mar,Sweet Seasons,26-Feb,1972
Neil Young,8,1,18-Mar,Heart of Gold,4-Mar,1972
T. Rex,2,10,4-Mar,Bang a Gong (Get It On),4-Mar,1972
America,10,1,25-Mar,A Horse with No Name,11-Mar,1972
Cher,3,7,25-Mar,The Way of Love,11-Mar,1972
Donny Osmond,5,3,1-Apr,Puppy Love,18-Mar,1972
Paul Simon,4,4,1-Apr,Mother and Child Reunion,18-Mar,1972
Joe Tex,10,2,6-May,I Gotcha,25-Mar,1972
The Chakachas,3,8,25-Mar,Jungle Fever,25-Mar,1972
Roberta Flack,11,1,15-Apr,The First Time Ever I Saw Your Face,1-Apr,1972
Michael Jackson,8,2,22-Apr,Rockin' Robin,1-Apr,1972
The Dramatics,4,5,22-Apr,In the Rain,8-Apr,1972
The Stylistics,6,3,6-May,"Betcha by Golly, Wow",15-Apr,1972
Aretha Franklin,5,5,6-May,Day Dreaming,15-Apr,1972
Sonny & Cher,3,8,29-Apr,A Cowboy's Work Is Never Done,15-Apr,1972
Jackson Browne,3,8,6-May,Doctor My Eyes,22-Apr,1972
Al Green,6,4,27-May,Look What You Done for Me,29-Apr,1972
The Staple Singers,8,1,3-Jun,I'll Take You There,6-May,1972
Ringo Starr,3,9,13-May,Back Off Boogaloo,6-May,1972
The Chi-Lites,7,1,27-May,Oh Girl,13-May,1972
Cat Stevens,4,6,27-May,Morning Has Broken,20-May,1972
The Rolling Stones,3,7,27-May,Tumbling Dice,20-May,1972
Sammy Davis Jr.,7,1,10-Jun,The Candy Man,27-May,1972
Dr. Hook & the Medicine Show,4,5,3-Jun,Sylvia's Mother,27-May,1972
Commander Cody and His Lost Planet Airmen,2,9,3-Jun,Hot Rod Lincoln,27-May,1972
Gallery,5,4,24-Jun,Nice to Be with You,3-Jun,1972
Neil Diamond,6,1,1-Jul,Song Sung Blue,10-Jun,1972
Billy Preston,6,2,8-Jul,Outa-Space,10-Jun,1972
The 5th Dimension,3,8,17-Jun,(Last Night) I Didn't Get to Sleep at All,10-Jun,1972
Bill Withers,7,1,8-Jul,Lean on Me,17-Jun,1972
The Jimmy Castor Bunch,4,6,24-Jun,Troglodyte (Cave Man),17-Jun,1972
Cornelius Brothers & Sister Rose,8,2,15-Jul,Too Late to Turn Back Now,24-Jun,1972
Wayne Newton,8,4,5-Aug,Daddy Don't You Walk So Fast,1-Jul,1972
Elton John,4,6,15-Jul,Rocket Man,1-Jul,1972
America,2,9,1-Jul,I Need You,1-Jul,1972
Luther Ingram,8,3,5-Aug,(If Loving You Is Wrong) I Don't Want to Be Right,8-Jul,1972
Gilbert O'Sullivan,11,1,29-Jul,Alone Again (Naturally),15-Jul,1972
Looking Glass,10,1,26-Aug,Brandy (You're a Fine Girl),15-Jul,1972
Roberta Flack & Donny Hathaway,6,5,12-Aug,Where Is the Love,15-Jul,1972
Alice Cooper,4,7,29-Jul,School's Out,22-Jul,1972
Mouth & MacNeal,4,8,22-Jul,How Do You Do,22-Jul,1972
The Hollies,8,2,2-Sep,Long Cool Woman in a Black Dress,29-Jul,1972
Derek and the Dominos,1,10,5-Aug,Layla,5-Aug,1972
Al Green,6,3,2-Sep,I'm Still in Love with You,12-Aug,1972
Argent,3,5,26-Aug,Hold Your Head Up,19-Aug,1972
The Carpenters,3,7,26-Aug,Goodbye to Love,19-Aug,1972
Nilsson,2,8,26-Aug,Coconut,19-Aug,1972
Mac Davis,9,1,23-Sep,"Baby, Don't Get Hooked on Me",26-Aug,1972
Jim Croce,3,8,2-Sep,You Don't Mess Around with Jim,26-Aug,1972
The O'Jays,7,3,7-Oct,Back Stabbers,2-Sep,1972
Gary Glitter,4,7,9-Sep,Rock and Roll Part 2,2-Sep,1972
Three Dog Night,5,1,16-Sep,Black and White,9-Sep,1972
Chicago,4,3,23-Sep,Saturday in the Park,9-Sep,1972
Elton John,2,8,23-Sep,Honky Cat,16-Sep,1972
Michael Jackson,7,1,14-Oct,Ben,23-Sep,1972
The Main Ingredient,6,3,14-Oct,Everybody Plays the Fool,23-Sep,1972
Raspberries,5,5,7-Oct,Go All the Way,23-Sep,1972
Bill Withers,5,2,14-Oct,Use Me,30-Sep,1972
Elvis Presley,6,2,28-Oct,Burning Love,30-Sep,1972
Hot Butter,4,9,21-Oct,Popcorn,30-Sep,1972
Chuck Berry,6,1,21-Oct,My Ding-a-Ling,7-Oct,1972
The Moody Blues,7,2,4-Nov,Nights in White Satin,14-Oct,1972
Rick Nelson,4,6,4-Nov,Garden Party,21-Oct,1972
Johnny Nash,8,1,4-Nov,I Can See Clearly Now,28-Oct,1972
Curtis Mayfield,4,4,4-Nov,Freddie's Dead,28-Oct,1972
Danny O'Keefe,2,9,4-Nov,Good Time Charlie's Got the Blues,28-Oct,1972
Lobo,5,2,18-Nov,I'd Love You to Want Me,4-Nov,1972
The Spinners,5,3,18-Nov,I'll Be Around,4-Nov,1972
Helen Reddy,8,1,9-Dec,I Am Woman,11-Nov,1972
The Delegates,2,8,18-Nov,Convention '72,11-Nov,1972
Eagles,2,9,18-Nov,Witchy Woman,11-Nov,1972
The Temptations,6,1,2-Dec,Papa Was a Rollin' Stone,18-Nov,1972
Seals and Crofts,3,6,25-Nov,Summer Breeze,18-Nov,1972
Harold Melvin & the Blue Notes,5,3,9-Dec,If You Don't Know Me by Now,25-Nov,1972
Al Green,7,3,23-Dec,You Ought to Be with Me,25-Nov,1972
The 5th Dimension,1,10,25-Nov,If I Could Reach You,25-Nov,1972
Albert Hammond,6,5,16-Dec,It Never Rains in Southern California,2-Dec,1972
America,3,8,9-Dec,Ventura Highway,2-Dec,1972
Billy Paul,8,1,16-Dec,Me and Mrs. Jones,9-Dec,1972
Gilbert O'Sullivan,7,2,30-Dec,Clair,9-Dec,1972
The Stylistics,2,10,9-Dec,I'm Stone in Love with You,9-Dec,1972
Carly Simon,11,1,6-Jan,You're So Vain,23-Dec,1973
Donna Fargo,4,5,6-Jan,Funny Face,23-Dec,1973
Johnny Rivers,6,6,20-Jan,Rockin' Pneumonia and the Boogie Woogie Flu,23-Dec,1973
Loggins and Messina,6,4,27-Jan,Your Mama Don't Dance,30-Dec,1973
Curtis Mayfield,4,8,13-Jan,Superfly,30-Dec,1973
Stevie Wonder,6,1,27-Jan,Superstition,6-Jan,1973
Elton John,9,1,3-Feb,Crocodile Rock,13-Jan,1973
Four Tops,1,10,13-Jan,Keeper of the Castle,13-Jan,1973
Timmy Thomas,5,3,10-Feb,Why Can't We Live Together,20-Jan,1973
Hurricane Smith,5,3,17-Feb,"Oh, Babe, What Would You Say?",20-Jan,1973
Marvin Gaye,3,7,3-Feb,Trouble Man,27-Jan,1973
War,3,7,10-Feb,The World Is a Ghetto,27-Jan,1973
Steely Dan,4,6,10-Feb,Do It Again,3-Feb,1973
Paul McCartney and Wings,1,10,3-Feb,"Hi, Hi, Hi",3-Feb,1973
The Spinners,6,4,3-Mar,Could It Be I'm Falling in Love,10-Feb,1973
Lobo,4,8,17-Feb,Don't Expect Me to Be Your Friend,10-Feb,1973
Roberta Flack,9,1,24-Feb,Killing Me Softly with His Song,17-Feb,1973
Eric Weissberg and Steve Mandell,6,2,24-Feb,Dueling Banjos,17-Feb,1973
John Denver,4,9,3-Mar,Rocky Mountain High,17-Feb,1973
The O'Jays,6,1,24-Mar,Love Train,24-Feb,1973
Edward Bear,6,3,3-Mar,Last Song,24-Feb,1973
Deodato,6,2,31-Mar,Also Sprach Zarathustra (2001),3-Mar,1973
Dr. Hook & the Medicine Show,3,6,17-Mar,The Cover of Rolling Stone,10-Mar,1973
Jermaine Jackson,2,9,17-Mar,Daddy's Home,10-Mar,1973
Gladys Knight & the Pips,6,2,7-Apr,Neither One of Us (Wants to Be the First to Say Goodbye),17-Mar,1973
Anne Murray,6,7,14-Apr,Danny's Song,17-Mar,1973
Four Tops,6,4,7-Apr,Ain't No Woman (Like the One I've Got),24-Mar,1973
The Stylistics,4,5,7-Apr,Break Up to Make Up,24-Mar,1973
Vicki Lawrence,7,1,7-Apr,The Night the Lights Went Out in Georgia,31-Mar,1973
The Carpenters,6,3,21-Apr,Sing,31-Mar,1973
Dawn featuring Tony Orlando,11,1,21-Apr,Tie a Yellow Ribbon Round the Ole Oak Tree,7-Apr,1973
War,6,2,28-Apr,The Cisco Kid,7-Apr,1973
Al Green,1,10,14-Apr,Call Me (Come Back Home),14-Apr,1973
The Sweet,7,3,5-May,Little Willy,21-Apr,1973
The Temptations,2,7,28-Apr,Masterpiece,21-Apr,1973
Donny Osmond,4,8,28-Apr,The Twelfth of Never,21-Apr,1973
Stevie Wonder,7,1,19-May,You Are the Sunshine of My Life,28-Apr,1973
Stealers Wheel,4,6,12-May,Stuck in the Middle with You,28-Apr,1973
The Edgar Winter Group,7,1,26-May,Frankenstein,5-May,1973
Dobie Gray,4,5,12-May,Drift Away,5-May,1973
Elton John,7,2,2-Jun,Daniel,12-May,1973
Paul McCartney and Wings,9,1,2-Jun,My Love,19-May,1973
Sylvia,7,3,9-Jun,Pillow Talk,19-May,1973
Skylark,2,9,26-May,Wildflower,19-May,1973
Focus,3,9,2-Jun,Hocus Pocus,26-May,1973
Clint Holmes,8,2,16-Jun,Playground in My Mind,2-Jun,1973
Barry White,6,3,23-Jun,I'm Gonna Love You Just a Little More Baby,2-Jun,1973
The Doobie Brothers,3,8,30-Jun,Long Train Runnin',9-Jun,1973
George Harrison,7,1,30-Jun,Give Me Love (Give Me Peace on Earth),16-Jun,1973
Billy Preston,8,1,7-Jul,Will It Go Round in Circles,16-Jun,1973
Paul Simon,7,2,7-Jul,Kodachrome,16-Jun,1973
Dr. John,4,9,30-Jun,"Right Place, Wrong Time",23-Jun,1973
Three Dog Night,6,3,28-Jul,Shambala,30-Jun,1973
Jim Croce,8,1,21-Jul,"Bad, Bad Leroy Brown",7-Jul,1973
The Carpenters,6,2,28-Jul,Yesterday Once More,7-Jul,1973
Deep Purple,5,4,28-Jul,Smoke on the Water,14-Jul,1973
Bette Midler,2,8,21-Jul,Boogie Woogie Bugle Boy,21-Jul,1973
Bloodstone,1,10,21-Jul,Natural High,21-Jul,1973
Maureen McGovern,6,1,4-Aug,The Morning After,28-Jul,1973
Seals and Crofts,2,6,28-Jul,Diamond Girl,28-Jul,1973
Diana Ross,8,1,18-Aug,Touch Me in the Morning,4-Aug,1973
Stories,8,1,25-Aug,Brother Louie,4-Aug,1973
Paul McCartney and Wings,7,2,11-Aug,Live and Let Die,4-Aug,1973
Marvin Gaye,13,1,8-Sep,Let's Get It On,11-Aug,1973
Charlie Daniels,3,9,11-Aug,Uneasy Rider,11-Aug,1973
Bobby (Boris) Pickett and the Crypt-Kickers,1,10,11-Aug,Monster Mash,11-Aug,1973
Helen Reddy,8,1,15-Sep,Delta Dawn,18-Aug,1973
Gilbert O'Sullivan,3,7,18-Aug,Get Down,18-Aug,1973
Chicago,2,10,18-Aug,Feelin' Stronger Every Day,18-Aug,1973
Dawn featuring Tony Orlando,6,3,15-Sep,"Say, Has Anybody Seen My Sweet Gypsy Rose",25-Aug,1973
Paul Simon,7,2,6-Oct,Loves Me Like a Rock,1-Sep,1973
Grand Funk Railroad,6,1,29-Sep,We're an American Band,8-Sep,1973
War,2,8,15-Sep,Gypsy Man,8-Sep,1973
Al Green,2,10,8-Sep,Here I Am (Come and Take Me),8-Sep,1973
Cher,8,1,6-Oct,Half-Breed,22-Sep,1973
Stevie Wonder,6,4,13-Oct,Higher Ground,22-Sep,1973
The Isley Brothers,6,6,6-Oct,That Lady,22-Sep,1973
The Allman Brothers Band,6,2,13-Oct,Ramblin' Man,29-Sep,1973
B. W. Stevenson,1,9,29-Sep,My Maria,29-Sep,1973
The Rolling Stones,7,1,20-Oct,Angie,6-Oct,1973
Eddie Kendricks,10,1,10-Nov,Keep On Truckin',6-Oct,1973
Gladys Knight & the Pips,8,1,27-Oct,Midnight Train to Georgia,13-Oct,1973
The DeFranco Family,7,3,17-Nov,Heartbeat - It's a Lovebeat,20-Oct,1973
Marie Osmond,6,5,3-Nov,Paper Roses,20-Oct,1973
Billy Preston,6,4,24-Nov,Space Race,3-Nov,1973
Art Garfunkel,2,9,10-Nov,All I Know,3-Nov,1973
Ringo Starr,6,1,24-Nov,Photograph,10-Nov,1973
The Carpenters,8,1,1-Dec,Top of the World,10-Nov,1973
Chicago,6,4,8-Dec,Just You 'n' Me,17-Nov,1973
Jim Croce,1,10,17-Nov,I Got a Name,17-Nov,1973
Elton John,7,2,8-Dec,Goodbye Yellow Brick Road,24-Nov,1973
Harold Melvin & the Blue Notes,3,7,8-Dec,The Love I Lost,24-Nov,1973
Charlie Rich,6,1,15-Dec,The Most Beautiful Girl,1-Dec,1973
Helen Reddy,5,3,29-Dec,Leave Me Alone (Ruby Red Dress),8-Dec,1973
Todd Rundgren,4,5,22-Dec,Hello It's Me,8-Dec,1973
Jim Croce,7,1,29-Dec,Time in a Bottle,15-Dec,1973
The Staple Singers,2,9,22-Dec,If You're Ready (Come Go with Me),15-Dec,1973
Steve Miller Band,8,1,12-Jan,The Joker,15-Dec,1974
Barry White,4,7,12-Jan,"Never, Never Gonna Give Ya Up",22-Dec,1974
Al Wilson,7,1,19-Jan,Show and Tell,29-Dec,1974
Brownsville Station,5,3,19-Jan,Smokin' in the Boys Room,29-Dec,1974
Gladys Knight & the Pips,6,4,19-Jan,I've Got to Use My Imagination,5-Jan,1974
Stevie Wonder,3,8,12-Jan,Living for the City,5-Jan,1974
Ringo Starr,7,1,26-Jan,You're Sixteen,12-Jan,1974
Olivia Newton-John,7,6,9-Feb,Let Me Be There,12-Jan,1974
Paul McCartney & Wings,1,10,12-Jan,Helen Wheels,12-Jan,1974
Barbra Streisand,9,1,2-Feb,The Way We Were,19-Jan,1974
The Love Unlimited Orchestra,7,1,9-Feb,Love's Theme,19-Jan,1974
Byron MacGregor,4,4,9-Feb,The Americans,26-Jan,1974
Aretha Franklin,6,3,23-Feb,Until You Come Back to Me (That's What I'm Gonna Do),2-Feb,1974
Jim Stafford,7,3,2-Mar,Spiders & Snakes,2-Feb,1974
Kool & the Gang,7,4,9-Mar,Jungle Boogie,9-Feb,1974
Eddie Kendricks,6,2,9-Mar,Boogie Down,16-Feb,1974
David Essex,5,5,9-Mar,Rock On,16-Feb,1974
Terry Jacks,8,1,2-Mar,Seasons in the Sun,23-Feb,1974
Cher,6,1,23-Mar,Dark Lady,2-Mar,1974
The O'Jays,1,10,2-Mar,Put Your Hands Together,2-Mar,1974
John Denver,7,1,30-Mar,Sunshine on My Shoulders,9-Mar,1974
Carly Simon and James Taylor,6,5,23-Mar,Mockingbird,9-Mar,1974
Paul McCartney & Wings,3,7,30-Mar,Jet,16-Mar,1974
Blue Swede,7,1,6-Apr,Hooked on a Feeling,23-Mar,1974
Elton John,9,1,13-Apr,Bennie and the Jets,23-Mar,1974
Mocedades,2,9,23-Mar,Eres tú,23-Mar,1974
Sister Janet Mead,4,4,13-Apr,The Lord's Prayer,30-Mar,1974
Redbone,5,5,13-Apr,Come and Get Your Love,30-Mar,1974
MFSB featuring The Three Degrees,6,1,20-Apr,TSOP (The Sound of Philadelphia),6-Apr,1974
Gladys Knight & the Pips,5,3,27-Apr,Best Thing That Ever Happened to Me,6-Apr,1974
Ringo Starr,3,5,27-Apr,Oh My My,13-Apr,1974
Grand Funk Railroad,6,1,4-May,The Loco-Motion,20-Apr,1974
Jim Croce,2,9,27-Apr,I'll Have to Say I Love You in a Song,20-Apr,1974
The Jackson 5,9,2,18-May,Dancing Machine,27-Apr,1974
Bobby Womack,1,10,27-Apr,Lookin' for a Love,27-Apr,1974
Ray Stevens,8,1,18-May,The Streak,4-May,1974
Three Dog Night,4,4,25-May,The Show Must Go On,4-May,1974
Mike Oldfield,2,7,11-May,Tubular Bells,4-May,1974
The Main Ingredient,1,10,4-May,Just Don't Want to Be Lonely,4-May,1974
Marvin Hamlisch,7,3,18-May,The Entertainer,11-May,1974
Maria Muldaur,6,6,1-Jun,Midnight at the Oasis,11-May,1974
Chicago,3,9,11-May,(I've Been) Searchin' So Long,11-May,1974
Paul McCartney & Wings,7,1,8-Jun,Band on the Run,18-May,1974
The Stylistics,8,2,15-Jun,You Make Me Feel Brand New,18-May,1974
Joni Mitchell,3,7,8-Jun,Help Me,25-May,1974
Bo Donaldson and The Heywoods,7,1,15-Jun,Billy Don't Be a Hero,1-Jun,1974
Gordon Lightfoot,7,1,29-Jun,Sundown,1-Jun,1974
Cat Stevens,1,10,1-Jun,Oh Very Young,1-Jun,1974
The O'Jays,2,9,15-Jun,For the Love of Money,8-Jun,1974
William DeVaughn,3,4,29-Jun,Be Thankful for What You Got,15-Jun,1974
Olivia Newton-John,4,5,29-Jun,If You Love Me (Let Me Know),22-Jun,1974
Kool & the Gang,3,6,6-Jul,Hollywood Swinging,22-Jun,1974
The Hues Corporation,5,1,6-Jul,Rock the Boat,29-Jun,1974
George McCrae,5,1,13-Jul,Rock Your Baby,29-Jun,1974
John Denver,7,1,27-Jul,Annie's Song,29-Jun,1974
Gladys Knight & the Pips,3,5,13-Jul,On and On,6-Jul,1974
Anne Murray,3,8,13-Jul,You Won't See Me,6-Jul,1974
Elton John,5,2,27-Jul,Don't Let the Sun Go Down on Me,13-Jul,1974
The Righteous Brothers,4,3,20-Jul,Rock and Roll Heaven,13-Jul,1974
The Hollies,4,6,3-Aug,The Air That I Breathe,13-Jul,1974
Steely Dan,3,4,3-Aug,Rikki Don't Lose That Number,20-Jul,1974
Roberta Flack,6,1,10-Aug,Feel Like Makin' Love,27-Jul,1974
Dave Loggins,4,5,10-Aug,Please Come to Boston,27-Jul,1974
Chicago,4,6,10-Aug,Call on Me,27-Jul,1974
Paper Lace,6,1,17-Aug,The Night Chicago Died,3-Aug,1974
Blue Magic,3,8,10-Aug,Sideshow,3-Aug,1974
ABBA,3,6,24-Aug,Waterloo,10-Aug,1974
Rufus and Chaka Khan,6,3,24-Aug,Tell Me Something Good,10-Aug,1974
Jim Stafford,4,7,24-Aug,Wildwood Weed,10-Aug,1974
Paul Anka and Odia Coates,6,1,24-Aug,(You're) Having My Baby,17-Aug,1974
Donny and Marie Osmond,5,4,14-Sep,I'm Leaving It Up to You,17-Aug,1974
Eric Clapton,5,1,14-Sep,I Shot the Sheriff,24-Aug,1974
Andy Kim,6,1,28-Sep,Rock Me Gently,24-Aug,1974
Wet Willie,1,10,24-Aug,Keep On Smilin',24-Aug,1974
Barry White,4,1,21-Sep,"Can't Get Enough of Your Love, Babe",31-Aug,1974
Helen Reddy,3,9,7-Sep,You and Me Against the World,31-Aug,1974
Billy Preston,7,1,19-Oct,Nothing from Nothing,7-Sep,1974
Dionne Warwick & Spinners,8,1,26-Oct,Then Came You,7-Sep,1974
The Guess Who,4,6,5-Oct,Clap for the Wolfman,14-Sep,1974
Olivia Newton-John,5,1,5-Oct,I Honestly Love You,21-Sep,1974
Stevie Wonder,7,1,2-Nov,You Haven't Done Nothin',21-Sep,1974
Johnny Bristol,3,8,5-Oct,Hang On in There Baby,21-Sep,1974
The First Class,3,4,5-Oct,Beach Baby,28-Sep,1974
Cat Stevens,3,6,12-Oct,Another Saturday Night,28-Sep,1974
Lynyrd Skynyrd,4,8,26-Oct,Sweet Home Alabama,28-Sep,1974
Cheech & Chong,2,9,12-Oct,Earache My Eye,5-Oct,1974
Elton John,5,4,2-Nov,The Bitch Is Back,12-Oct,1974
Bad Company,4,5,2-Nov,Can't Get Enough,12-Oct,1974
Blue Swede,2,7,19-Oct,Never My Love,12-Oct,1974
Carole King,4,2,9-Nov,Jazzman,19-Oct,1974
Tony Orlando and Dawn,3,7,26-Oct,Steppin' Out (Gonna Boogie Tonight),19-Oct,1974
The Osmonds,2,10,19-Oct,Love Me for a Reason,19-Oct,1974
Bachman–Turner Overdrive,5,1,9-Nov,You Ain't Seen Nothin' Yet,26-Oct,1974
Mac Davis,2,9,26-Oct,Stop and Smell the Roses,26-Oct,1974
John Lennon,3,1,16-Nov,Whatever Gets You thru the Night,2-Nov,1974
America,4,4,9-Nov,Tin Man,2-Nov,1974
B. T. Express,7,2,16-Nov,Do It ('Til You're Satisfied),9-Nov,1974
Bobby Vinton,5,3,16-Nov,My Melody of Love,9-Nov,1974
John Denver,3,5,9-Nov,Back Home Again,9-Nov,1974
