Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year
Jack Scott,4,8,16-Feb,Goodbye Baby,26-Jan,1959
Bill Parsons,5,2,2-Feb,The All American Boy,2-Feb,1959
Reg Owen Orchestra,2,10,9-Feb,Manhattan Spiritual,9-Feb,1959
The Coasters,8,2,9-Mar,Charlie Brown,23-Feb,1959
LaVern Baker,3,6,23-Feb,I Cried a Tear,23-Feb,1959
Annette,1,7,23-Feb,Tall Paul,23-Feb,1959
Chris Barber,3,5,2-Mar,Petite Fleur,23-Feb,1959
Ray Anthony,3,8,2-Mar,Peter Gunn,23-Feb,1959
Frankie Avalon,10,1,9-Mar,Venus,2-Mar,1959
The Chipmunks with David Seville,6,3,16-Mar,Alvin's Harmonica,2-Mar,1959
The Bell Notes,4,6,9-Mar,I've Had It,9-Mar,1959
Brook Benton,7,3,6-Apr,It's Just a Matter of Time,9-Mar,1959
Thomas Wayne,6,5,23-Mar,Tragedy,16-Mar,1959
Ricky Nelson,6,6,6-Apr,Never Be Anyone Else But You,16-Mar,1959
The Fleetwoods,8,1,13-Apr,Come Softly to Me,23-Mar,1959
Dodie Stevens,8,3,13-Apr,Pink Shoe Laces,30-Mar,1959
Ricky Nelson,3,9,6-Apr,It's Late,30-Mar,1959
The Virtues,6,5,27-Apr,Guitar Boogie Shuffle,6-Apr,1959
Elvis Presley,5,2,27-Apr,(Now and Then There's) A Fool Such as I,13-Apr,1959
Elvis Presley,5,4,20-Apr,I Need Your Love Tonight,13-Apr,1959
"Dave ""Baby"" Cortez",7,1,11-May,The Happy Organ,27-Apr,1959
Travis and Bob,2,8,27-Apr,Tell Him No,27-Apr,1959
The Impalas,7,2,11-May,Sorry (I Ran All the Way Home),27-Apr,1959
Fabian,4,9,11-May,Turn Me Loose,27-Apr,1959
Edward Byrnes with Connie Stevens,6,4,11-May,"Kookie, Kookie (Lend Me Your Comb)",11-May,1959
Wilbert Harrison,8,1,18-May,Kansas City,11-May,1959
Dion and the Belmonts,7,5,18-May,A Teenager in Love,18-May,1959
Bobby Darin,10,2,8-Jun,Dream Lover,18-May,1959
Johnny Horton,13,1,1-Jun,The Battle of New Orleans,18-May,1959
Martin Denny,7,4,1-Jun,Quiet Village,18-May,1959
Lloyd Price,10,2,15-Jun,Personality,25-May,1959
Franck Pourcel's French Fiddles,4,9,1-Jun,Only You (And You Alone),25-May,1959
Freddy Cannon,6,6,29-Jun,Tallahassee Lassie,15-Jun,1959
Paul Anka,10,1,13-Jul,Lonely Boy,15-Jun,1959
The Coasters,2,9,22-Jun,Along Came Jones,22-Jun,1959
Connie Francis,6,5,29-Jun,Lipstick on Your Collar,22-Jun,1959
Stonewall Jackson,6,4,13-Jul,Waterloo,6-Jul,1959
Frankie Avalon,1,8,6-Jul,Bobby Sox to Stockings,6-Jul,1959
Connie Francis,1,9,6-Jul,Frankie,6-Jul,1959
Fabian,6,3,20-Jul,Tiger,6-Jul,1959
Carl Dobkins Jr.,7,3,3-Aug,My Heart Is an Open Book,13-Jul,1959
Frankie Avalon,1,10,13-Jul,A Boy Without a Girl,13-Jul,1959
Elvis Presley,7,1,10-Aug,A Big Hunk o' Love,20-Jul,1959
The Drifters,6,2,17-Aug,There Goes My Baby,27-Jul,1959
Duane Eddy,3,9,27-Jul,Forty Miles of Bad Road,27-Jul,1959
Sammy Turner,6,3,24-Aug,Lavender Blue,3-Aug,1959
Ricky Nelson,1,9,3-Aug,Sweeter Than You,3-Aug,1959
Dinah Washington,3,8,10-Aug,What a Diff'rence a Day Makes,10-Aug,1959
Ray Charles,5,6,17-Aug,What'd I Say,10-Aug,1959
The Browns,10,1,24-Aug,The Three Bells,17-Aug,1959
Ricky Nelson,1,9,17-Aug,Just a Little Too Much,17-Aug,1959
Phil Phillips,6,2,24-Aug,Sea of Love,24-Aug,1959
Santo & Johnny,9,1,21-Sep,Sleep Walk,24-Aug,1959
Fats Domino,5,8,14-Sep,I Want to Walk You Home,24-Aug,1959
Lloyd Price,6,3,14-Sep,I'm Gonna Get Married,31-Aug,1959
Johnny and the Hurricanes,6,5,7-Sep,Red River Rock,31-Aug,1959
The Everly Brothers,7,4,21-Sep,(Till) I Kissed You,7-Sep,1959
Sarah Vaughan,4,7,7-Sep,Broken Hearted Melody,7-Sep,1959
Bobby Darin,16,1,5-Oct,Mack the Knife,14-Sep,1959
Jan and Dean,1,10,14-Sep,Baby Talk,14-Sep,1959
Paul Anka,11,2,5-Oct,Put Your Head on My Shoulder,21-Sep,1959
Sandy Nelson,8,4,19-Oct,Teen Beat,28-Sep,1959
The Fleetwoods,11,1,16-Nov,Mr. Blue,5-Oct,1959
The Coasters,5,7,12-Oct,Poison Ivy,5-Oct,1959
Frankie Avalon,4,7,26-Oct,Just Ask Your Heart,12-Oct,1959
Andy Williams,6,5,9-Nov,Lonely Street,12-Oct,1959
Della Reese,8,2,30-Nov,Don't You Know?,26-Oct,1959
Jerry Wallace,5,8,26-Oct,Primrose Lane,26-Oct,1959
Wink Martindale,5,7,2-Nov,Deck of Cards,26-Oct,1959
Paul Evans,2,9,9-Nov,Seven Little Girls Sitting in the Backseat,9-Nov,1959
Guy Mitchell,10,1,14-Dec,Heartaches by the Number,9-Nov,1959
Brook Benton,5,6,23-Nov,So Many Ways,16-Nov,1959
Ernie Fields,4,4,14-Dec,In the Mood,23-Nov,1959
Bobby Rydell,5,6,7-Dec,We Got Love,23-Nov,1959
Fats Domino,2,8,7-Dec,Be My Guest,30-Nov,1959
Neil Sedaka,1,9,7-Dec,Oh! Carol,7-Dec,1959
Conway Twitty,1,10,7-Dec,Danny Boy,7-Dec,1959
Frankie Avalon,9,1,28-Dec,Why,14-Dec,1959
Paul Anka,5,4,28-Dec,It's Time to Cry,14-Dec,1959
