Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year,Unique Words,Total Words
Three Dog Night,2,10,29-Nov,Eli's Comin',29-Nov,1969,53,330
Diana Ross & the Supremes,9,1,27-Dec,Someday We'll Be Together,6-Dec,1969,75,246
Mel and Tim,1,10,13-Dec,Backfield in Motion,13-Dec,1969,75,222
Neil Diamond,3,6,27-Dec,Holly Holy,20-Dec,1969,63,187
B. J. Thomas,13,1,3-Jan,Raindrops Keep Fallin' on My Head,13-Dec,1970,82,198
The Jackson 5,9,1,31-Jan,I Want You Back,27-Dec,1970,108,359
Led Zeppelin,7,4,31-Jan,Whole Lotta Love,27-Dec,1970,56,230
Shocking Blue,9,1,7-Feb,Venus,3-Jan,1970,49,148
Bobby Sherman,2,9,10-Jan,La La La (If I Had You),3-Jan,1970,75,184
Tommy Roe,3,8,17-Jan,Jam Up and Jelly Tight,10-Jan,1970,65,206
Elvis Presley,3,6,31-Jan,"Don't Cry Daddy"" / ""Rubberneckin'",17-Jan,1970,64,296
Ferrante & Teicher,1,10,17-Jan,Midnight Cowboy,17-Jan,1970,9999,9999
Tom Jones,3,5,31-Jan,Without Love (There Is Nothing),24-Jan,1970,90,219
Dionne Warwick,4,6,7-Feb,I'll Never Fall in Love Again,24-Jan,1970,68,231
Sly and the Family Stone,7,1,14-Feb,"Thank You (Falettinme Be Mice Elf Agin)"" / ""Everybody Is a Star",31-Jan,1970,111,235
Eddie Holman,6,2,21-Feb,Hey There Lonely Girl,7-Feb,1970,64,172
The Guess Who,4,5,28-Feb,No Time,7-Feb,1970,51,307
The Archies,1,10,7-Feb,Jingle Jangle,7-Feb,1970,85,316
Creedence Clearwater Revival,5,2,7-Mar,"Travelin' Band"" / ""Who'll Stop The Rain",14-Feb,1970,69,116
The Temptations,3,7,28-Feb,Psychedelic Shack,14-Feb,1970,134,428
Mark Lindsay,1,10,14-Feb,Arizona,14-Feb,1970,108,240
Simon & Garfunkel,10,1,28-Feb,Bridge over Troubled Water,21-Feb,1970,74,168
Brook Benton,5,4,7-Mar,Rainy Night in Georgia,21-Feb,1970,106,271
Tee-Set,3,5,14-Mar,Ma Belle Amie,28-Feb,1970,74,317
The Jaggerz,6,2,21-Mar,The Rapper,7-Mar,1970,76,163
Chairmen of the Board,4,3,21-Mar,Give Me Just a Little More Time,7-Mar,1970,103,267
The Hollies,4,7,21-Mar,"He Ain't Heavy, He's My Brother",7-Mar,1970,75,150
Santana,2,9,21-Mar,Evil Ways,14-Mar,1970,73,178
The Beatles,11,1,11-Apr,Let It Be,21-Mar,1970,61,263
John Lennon,8,3,28-Mar,Instant Karma!,21-Mar,1970,82,294
Edison Lighthouse,7,5,28-Mar,Love Grows (Where My Rosemary Goes),21-Mar,1970,82,242
The Delfonics,1,10,21-Mar,Didn't I (Blow Your Mind This Time),21-Mar,1970,70,280
The Jackson 5,9,1,25-Apr,ABC,28-Mar,1970,106,470
Norman Greenbaum,8,3,18-Apr,Spirit in the Sky,28-Mar,1970,48,231
Badfinger,6,7,18-Apr,Come and Get It,28-Mar,1970,46,205
Frijid Pink,2,7,4-Apr,The House of the Rising Sun,4-Apr,1970,79,163
Bobby Sherman,2,9,11-Apr,"Easy Come, Easy Go",4-Apr,1970,67,106
The Guess Who,8,1,9-May,"American Woman"" / ""No Sugar Tonight",18-Apr,1970,86,334
The Friends of Distinction,4,6,2-May,Love or Let Me Be Lonely,18-Apr,1970,60,108
The Supremes,1,10,18-Apr,Up the Ladder to the Roof,18-Apr,1970,96,292
Tyrone Davis,6,3,23-May,Turn Back the Hands of Time,25-Apr,1970,97,296
The Ides of March,5,2,23-May,Vehicle,2-May,1970,69,310
Ray Stevens,6,1,30-May,Everything Is Beautiful,9-May,1970,118,300
Marmalade,3,10,9-May,Reflections of My Life,9-May,1970,48,157
Simon & Garfunkel,5,4,30-May,Cecilia,16-May,1970,49,180
Creedence Clearwater Revival,5,4,6-Jun,"Up Around the Bend"" / ""Run Through the Jungle",16-May,1970,60,126
The Moments,5,3,30-May,Love on a Two-Way Street,23-May,1970,75,203
The Poppy Family,5,2,6-Jun,Which Way You Goin' Billy?,30-May,1970,66,221
Joe Cocker,4,7,30-May,The Letter,30-May,1970,56,226
The Beatles,6,1,13-Jun,"The Long and Winding Road"" / ""For You Blue",6-Jun,1970,60,157
Rare Earth,5,4,13-Jun,Get Ready,6-Jun,1970,84,209
Chicago,2,9,6-Jun,Make Me Smile,6-Jun,1970,77,123
The Jackson 5,9,1,27-Jun,The Love You Save,13-Jun,1970,125,325
Three Dog Night,9,1,11-Jul,Mama Told Me (Not to Come),20-Jun,1970,110,342
The Temptations,9,3,27-Jun,Ball of Confusion (That's What the World Is Today),20-Jun,1970,165,352
Vanity Fare,4,5,27-Jun,Hitchin' a Ride,20-Jun,1970,60,167
Melanie with The Edwin Hawkins Singers,6,6,11-Jul,Lay Down (Candles in the Rain),20-Jun,1970,96,510
Blues Image,5,4,11-Jul,Ride Captain Ride,27-Jun,1970,84,253
Elvis Presley,3,9,27-Jun,"The Wonder of You"" / ""Mama Liked the Roses",27-Jun,1970,53,126
Freda Payne,8,3,25-Jul,Band of Gold,4-Jul,1970,75,246
The Carpenters,11,1,25-Jul,(They Long to Be) Close to You,11-Jul,1970,63,216
Bread,10,1,22-Aug,Make It with You,18-Jul,1970,79,180
Five Stairsteps,4,8,18-Jul,O-o-h Child,18-Jul,1970,42,233
The Pipkins,1,9,18-Jul,Gimme Dat Ding,18-Jul,1970,91,489
Stevie Wonder,6,3,8-Aug,"Signed, Sealed, Delivered I'm Yours",25-Jul,1970,82,296
Eric Burdon and War,7,3,22-Aug,Spill the Wine,1-Aug,1970,147,394
Alive N Kickin',4,7,8-Aug,"Tighter, Tighter",1-Aug,1970,50,164
Edwin Starr,8,1,29-Aug,War,15-Aug,1970,120,353
Mungo Jerry,6,3,12-Sep,In the Summertime,15-Aug,1970,111,414
Clarence Carter,6,4,19-Sep,Patches,22-Aug,1970,181,476
B. J. Thomas,1,9,22-Aug,I Just Can't Help Believing,22-Aug,1970,67,167
Diana Ross,9,1,19-Sep,Ain't No Mountain High Enough,29-Aug,1970,99,262
Chicago,5,4,12-Sep,25 or 6 to 4,29-Aug,1970,58,97
Ronnie Dyson,2,8,29-Aug,(If You Let Me Make Love to You Then) Why Can't I Touch You?,29-Aug,1970,69,239
Creedence Clearwater Revival,7,2,3-Oct,"Lookin' Out My Back Door"" / ""Long As I Can See the Light",5-Sep,1970,61,167
Bobby Sherman,6,5,19-Sep,"Julie, Do Ya Love Me",12-Sep,1970,80,207
Dawn,8,3,3-Oct,Candida,19-Sep,1970,91,129
Neil Diamond,7,1,10-Oct,Cracklin' Rosie,26-Sep,1970,100,271
Rare Earth,3,7,3-Oct,(I Know) I'm Losing You,26-Sep,1970,87,225
Anne Murray,2,8,26-Sep,Snowbird,26-Sep,1970,104,224
The Jackson 5,11,1,17-Oct,I'll Be There,3-Oct,1970,90,287
Free,6,4,17-Oct,All Right Now,3-Oct,1970,79,160
The Carpenters,9,2,31-Oct,We've Only Just Begun,10-Oct,1970,68,166
Sugarloaf,8,3,17-Oct,Green-Eyed Lady,10-Oct,1970,43,94
James Taylor,8,3,31-Oct,Fire and Rain,17-Oct,1970,114,309
R. Dean Taylor,6,5,7-Nov,Indiana Wants Me,24-Oct,1970,107,346
The Kinks,3,9,24-Oct,Lola,24-Oct,1970,130,332
Glen Campbell,1,10,31-Oct,It's Only Make Believe,31-Oct,1970,65,186
The Partridge Family,11,1,21-Nov,I Think I Love You,7-Nov,1970,115,365
Smokey Robinson & The Miracles,10,1,12-Dec,The Tears of a Clown,14-Nov,1970,103,288
Brian Hyland,8,3,5-Dec,Gypsy Woman,14-Nov,1970,67,154
100 Proof (Aged in Soul),2,8,14-Nov,Somebody's Been Sleeping,14-Nov,1970,79,215
Bread,1,10,14-Nov,It Don't Matter to Me,14-Nov,1970,85,215
Bobby Bloom,2,8,28-Nov,Montego Bay,21-Nov,1970,95,234
Stevie Wonder,2,9,28-Nov,Heaven Help Us All,28-Nov,1970,75,195
The 5th Dimension,10,2,26-Dec,One Less Bell to Answer,5-Dec,1970,85,226
Badfinger,4,8,5-Dec,No Matter What,5-Dec,1970,56,133
The Guess Who,2,10,5-Dec,Share the Land,5-Dec,1970,106,501
George Harrison,10,1,26-Dec,"My Sweet Lord"" / ""Isn't It a Pity",12-Dec,1970,44,307
The Supremes,5,7,19-Dec,Stoned Love,19-Dec,1970,99,267
Santana,7,4,9-Jan,Black Magic Woman,12-Dec,1971,49,127
Chicago,5,7,2-Jan,Does Anybody Really Know What Time It Is?,12-Dec,1971,88,275
Dawn,11,1,23-Jan,Knock Three Times,19-Dec,1971,87,244
Van Morrison,1,9,2-Jan,Domino,2-Jan,1971,101,228
Bee Gees,7,3,30-Jan,Lonely Days,9-Jan,1971,33,89
Barbra Streisand,4,6,23-Jan,Stoney End,9-Jan,1971,73,199
King Floyd,6,6,30-Jan,Groove Me,16-Jan,1971,101,289
Lynn Anderson,6,3,13-Feb,Rose Garden,23-Jan,1971,104,312
Elton John,4,8,23-Jan,Your Song,23-Jan,1971,120,294
Perry Como,1,10,23-Jan,It's Impossible,23-Jan,1971,62,178
The Osmonds,9,1,13-Feb,One Bad Apple,30-Jan,1971,93,294
Dave Edmunds,5,4,13-Feb,I Hear You Knocking,30-Jan,1971,75,176
Gladys Knight & the Pips,2,9,13-Feb,If I Were Your Woman,6-Feb,1971,93,333
The Jackson 5,5,2,27-Feb,Mama's Pearl,13-Feb,1971,97,432
Gordon Lightfoot,5,5,20-Feb,If You Could Read My Mind,20-Feb,1971,124,314
Wadsworth Mansion,3,7,27-Feb,Sweet Mary,20-Feb,1971,87,297
Nitty Gritty Dirt Band,3,9,20-Feb,Mr. Bojangles,20-Feb,1971,114,234
Janis Joplin,8,1,20-Mar,Me and Bobby McGee,27-Feb,1971,137,404
Jerry Reed,2,8,27-Feb,Amos Moses,27-Feb,1971,132,322
The Temptations,9,1,3-Apr,Just My Imagination (Running Away with Me),6-Mar,1971,109,230
Tom Jones,8,2,20-Mar,She's a Lady,6-Mar,1971,91,285
The Carpenters,7,3,13-Mar,For All We Know,6-Mar,1971,48,105
Ike & Tina Turner,5,4,27-Mar,Proud Mary,13-Mar,1971,108,254
The Partridge Family,6,6,27-Mar,Doesn't Somebody Want to Be Wanted,13-Mar,1971,91,263
Creedence Clearwater Revival,1,8,13-Mar,"Have You Ever Seen the Rain?"" / ""Hey Tonight",13-Mar,1971,34,90
Marvin Gaye,8,2,10-Apr,What's Going On,20-Mar,1971,83,206
Sammi Smith,3,8,27-Mar,Help Me Make It Through the Night,20-Mar,1971,70,105
George Harrison,1,10,27-Mar,What Is Life,27-Mar,1971,51,242
Paul McCartney,5,5,17-Apr,"Another Day"" / ""Oh Woman, Oh Why",3-Apr,1971,56,249
Andy Williams,1,9,3-Apr,(Where Do I Begin?) Love Story,3-Apr,1971,99,206
Three Dog Night,11,1,17-Apr,Joy to the World,10-Apr,1971,75,262
Brewer & Shipley,2,10,10-Apr,One Toke Over the Line,10-Apr,1971,118,417
Ocean,7,2,1-May,Put Your Hand in the Hand,17-Apr,1971,94,172
The Jackson 5,7,2,8-May,Never Can Say Goodbye,24-Apr,1971,91,320
Neil Diamond,4,4,8-May,I Am... I Said,24-Apr,1971,107,233
Bread,5,4,15-May,If,24-Apr,1971,82,136
The Bells,4,7,1-May,Stay Awhile,24-Apr,1971,59,179
Daddy Dewdrop,5,9,8-May,Chick-A-Boom (Don't Ya Jes' Love It),1-May,1971,116,327
Lobo,5,5,15-May,Me and You and a Dog Named Boo,8-May,1971,107,176
Aretha Franklin,6,6,5-Jun,Bridge over Troubled Water,8-May,1971,97,356
The Rolling Stones,8,1,29-May,Brown Sugar,15-May,1971,94,207
Honey Cone,8,1,12-Jun,Want Ads,22-May,1971,101,372
Ringo Starr,7,4,5-Jun,It Don't Come Easy,22-May,1971,84,231
Donny Osmond,5,7,5-Jun,Sweet and Innocent,29-May,1971,69,183
Carole King,10,1,19-Jun,It's Too Late,5-Jun,1971,86,261
The Carpenters,7,2,19-Jun,Rainy Days and Mondays,5-Jun,1971,78,211
Cornelius Brothers & Sister Rose,7,3,3-Jul,Treat Her Like a Lady,12-Jun,1971,101,451
The Partridge Family,2,9,12-Jun,I'll Meet You Halfway,12-Jun,1971,63,181
The Raiders,9,1,24-Jul,Indian Reservation (The Lament of the Cherokee Reservation Indian),19-Jun,1971,65,117
"Hamilton, Joe Frank & Reynolds",6,4,17-Jul,Don't Pull Your Love,26-Jun,1971,95,397
Jerry Reed,3,9,26-Jun,"When You're Hot, You're Hot",26-Jun,1971,159,456
James Taylor,8,1,31-Jul,You've Got a Friend,3-Jul,1971,104,306
Jean Knight,8,2,14-Aug,Mr. Big Stuff,10-Jul,1971,89,187
Carly Simon,2,10,10-Jul,That's the Way I've Always Heard It Should Be,10-Jul,1971,127,283
Bee Gees,10,1,7-Aug,How Can You Mend a Broken Heart,17-Jul,1971,70,188
Tommy James,6,4,14-Aug,Draggin' the Line,17-Jul,1971,64,232
John Denver,8,2,28-Aug,"Take Me Home, Country Roads",24-Jul,1971,76,178
The Grass Roots,2,9,31-Jul,Sooner or Later,24-Jul,1971,68,386
Tom Clay,3,8,14-Aug,"What the World Needs Now Is Love/Abraham, Martin and John",31-Jul,1971,264,990
Marvin Gaye,4,4,21-Aug,Mercy Mercy Me (The Ecology),7-Aug,1971,62,112
Chicago,3,7,14-Aug,Beginnings,7-Aug,1971,72,152
Five Man Electrical Band,5,3,28-Aug,Signs,14-Aug,1971,144,323
Creedence Clearwater Revival,2,6,21-Aug,Sweet Hitch-Hiker,21-Aug,1971,103,224
Three Dog Night,3,7,28-Aug,Liar,21-Aug,1971,60,204
Donny Osmond,9,1,11-Sep,Go Away Little Girl,28-Aug,1971,58,183
Aretha Franklin,6,2,11-Sep,Spanish Harlem,28-Aug,1971,76,223
The Undisputed Truth,6,3,4-Sep,Smiling Faces Sometimes,28-Aug,1971,78,230
Paul and Linda McCartney,7,1,4-Sep,Uncle Albert/Admiral Halsey,4-Sep,1971,89,251
Bill Withers,6,3,18-Sep,Ain't No Sunshine,4-Sep,1971,41,182
Rare Earth,4,7,11-Sep,I Just Want to Celebrate,4-Sep,1971,76,301
Rod Stewart,11,1,2-Oct,Maggie May,11-Sep,1971,129,316
Joan Baez,8,3,2-Oct,The Night They Drove Old Dixie Down,18-Sep,1971,126,269
The Dramatics,2,9,25-Sep,Whatcha See Is Whatcha Get,18-Sep,1971,81,486
The Carpenters,8,2,16-Oct,Superstar,25-Sep,1971,61,107
The Osmonds,8,3,16-Oct,Yo-Yo,2-Oct,1971,112,279
Lee Michaels,5,6,9-Oct,Do You Know What I Mean,2-Oct,1971,86,280
Stevie Wonder,3,8,16-Oct,If You Really Love Me,9-Oct,1971,79,237
The Stampeders,3,8,23-Oct,Sweet City Woman,9-Oct,1971,91,293
Cher,9,1,6-Nov,"Gypsys, Tramps & Thieves",16-Oct,1971,103,303
Isaac Hayes,9,1,20-Nov,Theme from Shaft,23-Oct,1971,62,94
John Lennon,6,3,13-Nov,Imagine,30-Oct,1971,66,140
Cat Stevens,5,7,6-Nov,Peace Train,30-Oct,1971,87,219
The Free Movement,3,5,13-Nov,I've Found Someone of My Own,30-Oct,1971,81,172
Marvin Gaye,2,9,6-Nov,Inner City Blues (Make Me Wanna Holler),6-Nov,1971,89,175
The Chi-Lites,8,3,11-Dec,Have You Seen Her,13-Nov,1971,146,406
Sly and the Family Stone,9,1,4-Dec,Family Affair,20-Nov,1971,74,190
Bread,5,3,27-Nov,Baby I'm-a Want You,20-Nov,1971,72,138
Michael Jackson,9,4,11-Dec,Got to Be There,20-Nov,1971,51,158
Les Crane,3,8,4-Dec,Desiderata,27-Nov,1971,169,313
Aretha Franklin,2,9,27-Nov,Rock Steady,27-Nov,1971,75,369
Three Dog Night,5,4,18-Dec,An Old Fashioned Love Song,4-Dec,1971,75,279
Melanie,10,1,25-Dec,Brand New Key,11-Dec,1971,88,285
Sonny & Cher,3,7,25-Dec,All I Ever Need Is You,11-Dec,1971,88,162
David Cassidy,4,9,25-Dec,Cherish,18-Dec,1971,105,334
Don McLean,11,1,15-Jan,American Pie,18-Dec,1972,316,914
Dennis Coffey,6,6,8-Jan,Scorpio,25-Dec,1972,9999,9999
Donny Osmond,4,9,15-Jan,Hey Girl,25-Dec,1972,66,179
Jonathan Edwards,6,4,15-Jan,Sunshine,1-Jan,1972,99,234
Al Green,9,1,12-Feb,Let's Stay Together,8-Jan,1972,72,180
The New Seekers,3,7,15-Jan,I'd Like to Teach the World to Sing (in Perfect Harmony),8-Jan,1972,50,232
Betty Wright,3,6,29-Jan,Clean Up Woman,15-Jan,1972,97,229
Badfinger,4,4,5-Feb,Day After Day,22-Jan,1972,46,141
The Stylistics,2,9,22-Jan,You Are Everything,22-Jan,1972,58,147
The Jackson 5,2,10,22-Jan,Sugar Daddy,22-Jan,1972,152,366
Three Dog Night,4,5,12-Feb,Never Been to Spain,29-Jan,1972,65,205
Nilsson,9,1,19-Feb,Without You,5-Feb,1972,56,193
The Carpenters,6,2,26-Feb,Hurting Each Other,5-Feb,1972,69,176
Climax,7,3,26-Feb,Precious and Few,5-Feb,1972,50,174
Apollo 100,4,6,26-Feb,Joy,5-Feb,1972,9999,9999
The Osmonds,6,4,4-Mar,Down by the Lazy River,12-Feb,1972,86,260
Robert John,8,3,11-Mar,The Lion Sleeps Tonight,19-Feb,1972,35,119
Bread,6,5,4-Mar,Everything I Own,19-Feb,1972,84,205
Carole King,2,9,4-Mar,Sweet Seasons,26-Feb,1972,79,186
Neil Young,8,1,18-Mar,Heart of Gold,4-Mar,1972,39,145
T. Rex,2,10,4-Mar,Bang a Gong (Get It On),4-Mar,1972,74,331
America,10,1,25-Mar,A Horse with No Name,11-Mar,1972,107,343
Cher,3,7,25-Mar,The Way of Love,11-Mar,1972,55,166
Donny Osmond,5,3,1-Apr,Puppy Love,18-Mar,1972,69,185
Paul Simon,4,4,1-Apr,Mother and Child Reunion,18-Mar,1972,68,182
Joe Tex,10,2,6-May,I Gotcha,25-Mar,1972,92,300
The Chakachas,3,8,25-Mar,Jungle Fever,25-Mar,1972,22,62
Roberta Flack,11,1,15-Apr,The First Time Ever I Saw Your Face,1-Apr,1972,58,144
Michael Jackson,8,2,22-Apr,Rockin' Robin,1-Apr,1972,72,258
The Dramatics,4,5,22-Apr,In the Rain,8-Apr,1972,54,286
The Stylistics,6,3,6-May,"Betcha by Golly, Wow",15-Apr,1972,82,196
Aretha Franklin,5,5,6-May,Day Dreaming,15-Apr,1972,78,305
Sonny & Cher,3,8,29-Apr,A Cowboy's Work Is Never Done,15-Apr,1972,84,140
Jackson Browne,3,8,6-May,Doctor My Eyes,22-Apr,1972,88,146
Al Green,6,4,27-May,Look What You Done for Me,29-Apr,1972,91,241
The Staple Singers,8,1,3-Jun,I'll Take You There,6-May,1972,65,399
Ringo Starr,3,9,13-May,Back Off Boogaloo,6-May,1972,65,242
The Chi-Lites,7,1,27-May,Oh Girl,13-May,1972,101,209
Cat Stevens,4,6,27-May,Morning Has Broken,20-May,1972,52,122
The Rolling Stones,3,7,27-May,Tumbling Dice,20-May,1972,89,212
Sammy Davis Jr.,7,1,10-Jun,The Candy Man,27-May,1972,85,400
Dr. Hook & the Medicine Show,4,5,3-Jun,Sylvia's Mother,27-May,1972,84,253
Commander Cody and His Lost Planet Airmen,2,9,3-Jun,Hot Rod Lincoln,27-May,1972,216,468
Gallery,5,4,24-Jun,Nice to Be with You,3-Jun,1972,83,268
Neil Diamond,6,1,1-Jul,Song Sung Blue,10-Jun,1972,52,171
Billy Preston,6,2,8-Jul,Outa-Space,10-Jun,1972,9999,9999
The 5th Dimension,3,8,17-Jun,(Last Night) I Didn't Get to Sleep at All,10-Jun,1972,80,284
Bill Withers,7,1,8-Jul,Lean on Me,17-Jun,1972,79,290
The Jimmy Castor Bunch,4,6,24-Jun,Troglodyte (Cave Man),17-Jun,1972,141,360
Cornelius Brothers & Sister Rose,8,2,15-Jul,Too Late to Turn Back Now,24-Jun,1972,89,371
Wayne Newton,8,4,5-Aug,Daddy Don't You Walk So Fast,1-Jul,1972,86,256
Elton John,4,6,15-Jul,Rocket Man,1-Jul,1972,94,319
America,2,9,1-Jul,I Need You,1-Jul,1972,57,237
Luther Ingram,8,3,5-Aug,(If Loving You Is Wrong) I Don't Want to Be Right,8-Jul,1972,94,309
Gilbert O'Sullivan,11,1,29-Jul,Alone Again (Naturally),15-Jul,1972,170,292
Looking Glass,10,1,26-Aug,Brandy (You're a Fine Girl),15-Jul,1972,128,333
Roberta Flack & Donny Hathaway,6,5,12-Aug,Where Is the Love,15-Jul,1972,80,190
Alice Cooper,4,7,29-Jul,School's Out,22-Jul,1972,64,151
Mouth & MacNeal,4,8,22-Jul,How Do You Do,22-Jul,1972,70,331
The Hollies,8,2,2-Sep,Long Cool Woman in a Black Dress,29-Jul,1972,133,238
Derek and the Dominos,1,10,5-Aug,Layla,5-Aug,1972,81,189
Al Green,6,3,2-Sep,I'm Still in Love with You,12-Aug,1972,57,171
Argent,3,5,26-Aug,Hold Your Head Up,19-Aug,1972,41,281
The Carpenters,3,7,26-Aug,Goodbye to Love,19-Aug,1972,113,206
Nilsson,2,8,26-Aug,Coconut,19-Aug,1972,75,630
Mac Davis,9,1,23-Sep,"Baby, Don't Get Hooked on Me",26-Aug,1972,73,226
Jim Croce,3,8,2-Sep,You Don't Mess Around with Jim,26-Aug,1972,147,384
The O'Jays,7,3,7-Oct,Back Stabbers,2-Sep,1972,95,251
Gary Glitter,4,7,9-Sep,Rock and Roll Part 2,2-Sep,1972,1,10
Three Dog Night,5,1,16-Sep,Black and White,9-Sep,1972,51,123
Chicago,4,3,23-Sep,Saturday in the Park,9-Sep,1972,85,234
Elton John,2,8,23-Sep,Honky Cat,16-Sep,1972,109,367
Michael Jackson,7,1,14-Oct,Ben,23-Sep,1972,78,182
The Main Ingredient,6,3,14-Oct,Everybody Plays the Fool,23-Sep,1972,112,255
Raspberries,5,5,7-Oct,Go All the Way,23-Sep,1972,78,252
Bill Withers,5,2,14-Oct,Use Me,30-Sep,1972,99,246
Elvis Presley,6,2,28-Oct,Burning Love,30-Sep,1972,83,240
Hot Butter,4,9,21-Oct,Popcorn,30-Sep,1972,9999,9999
Chuck Berry,6,1,21-Oct,My Ding-a-Ling,7-Oct,1972,94,219
The Moody Blues,7,2,4-Nov,Nights in White Satin,14-Oct,1972,120,255
Rick Nelson,4,6,4-Nov,Garden Party,21-Oct,1972,122,202
Johnny Nash,8,1,4-Nov,I Can See Clearly Now,28-Oct,1972,55,162
Curtis Mayfield,4,4,4-Nov,Freddie's Dead,28-Oct,1972,102,215
Danny O'Keefe,2,9,4-Nov,Good Time Charlie's Got the Blues,28-Oct,1972,73,164
Lobo,5,2,18-Nov,I'd Love You to Want Me,4-Nov,1972,64,122
The Spinners,5,3,18-Nov,I'll Be Around,4-Nov,1972,86,244
Helen Reddy,8,1,9-Dec,I Am Woman,11-Nov,1972,104,279
The Delegates,2,8,18-Nov,Convention '72,11-Nov,1972,286,900
Eagles,2,9,18-Nov,Witchy Woman,11-Nov,1972,79,153
The Temptations,6,1,2-Dec,Papa Was a Rollin' Stone,18-Nov,1972,126,418
Seals and Crofts,3,6,25-Nov,Summer Breeze,18-Nov,1972,84,205
Harold Melvin & the Blue Notes,5,3,9-Dec,If You Don't Know Me by Now,25-Nov,1972,87,283
Al Green,7,3,23-Dec,You Ought to Be with Me,25-Nov,1972,89,214
The 5th Dimension,1,10,25-Nov,If I Could Reach You,25-Nov,1972,65,150
Albert Hammond,6,5,16-Dec,It Never Rains in Southern California,2-Dec,1972,81,224
America,3,8,9-Dec,Ventura Highway,2-Dec,1972,96,186
Billy Paul,8,1,16-Dec,Me and Mrs. Jones,9-Dec,1972,92,307
Gilbert O'Sullivan,7,2,30-Dec,Clair,9-Dec,1972,123,250
The Stylistics,2,10,9-Dec,I'm Stone in Love with You,9-Dec,1972,89,199
Carly Simon,11,1,6-Jan,You're So Vain,23-Dec,1973,111,364
Donna Fargo,4,5,6-Jan,Funny Face,23-Dec,1973,60,200
Johnny Rivers,6,6,20-Jan,Rockin' Pneumonia and the Boogie Woogie Flu,23-Dec,1973,60,197
Loggins and Messina,6,4,27-Jan,Your Mama Don't Dance,30-Dec,1973,85,276
Curtis Mayfield,4,8,13-Jan,Superfly,30-Dec,1973,119,315
Stevie Wonder,6,1,27-Jan,Superstition,6-Jan,1973,66,155
Elton John,9,1,3-Feb,Crocodile Rock,13-Jan,1973,108,331
Four Tops,1,10,13-Jan,Keeper of the Castle,13-Jan,1973,116,271
Timmy Thomas,5,3,10-Feb,Why Can't We Live Together,20-Jan,1973,35,115
Hurricane Smith,5,3,17-Feb,"Oh, Babe, What Would You Say?",20-Jan,1973,72,172
Marvin Gaye,3,7,3-Feb,Trouble Man,27-Jan,1973,119,345
War,3,7,10-Feb,The World Is a Ghetto,27-Jan,1973,63,226
Steely Dan,4,6,10-Feb,Do It Again,3-Feb,1973,103,227
Paul McCartney and Wings,1,10,3-Feb,"Hi, Hi, Hi",3-Feb,1973,89,288
The Spinners,6,4,3-Mar,Could It Be I'm Falling in Love,10-Feb,1973,109,331
Lobo,4,8,17-Feb,Don't Expect Me to Be Your Friend,10-Feb,1973,103,176
Roberta Flack,9,1,24-Feb,Killing Me Softly with His Song,17-Feb,1973,77,324
Eric Weissberg and Steve Mandell,6,2,24-Feb,Dueling Banjos,17-Feb,1973,9999,9999
John Denver,4,9,3-Mar,Rocky Mountain High,17-Feb,1973,155,339
The O'Jays,6,1,24-Mar,Love Train,24-Feb,1973,75,294
Edward Bear,6,3,3-Mar,Last Song,24-Feb,1973,75,264
Deodato,6,2,31-Mar,Also Sprach Zarathustra (2001),3-Mar,1973,35,39
Dr. Hook & the Medicine Show,3,6,17-Mar,The Cover of Rolling Stone,10-Mar,1973,151,427
Jermaine Jackson,2,9,17-Mar,Daddy's Home,10-Mar,1973,70,205
Gladys Knight & the Pips,6,2,7-Apr,Neither One of Us (Wants to Be the First to Say Goodbye),17-Mar,1973,290,434
Anne Murray,6,7,14-Apr,Danny's Song,17-Mar,1973,88,237
Four Tops,6,4,7-Apr,Ain't No Woman (Like the One I've Got),24-Mar,1973,112,363
The Stylistics,4,5,7-Apr,Break Up to Make Up,24-Mar,1973,70,238
Vicki Lawrence,7,1,7-Apr,The Night the Lights Went Out in Georgia,31-Mar,1973,186,496
The Carpenters,6,3,21-Apr,Sing,31-Mar,1973,44,106
Dawn featuring Tony Orlando,11,1,21-Apr,Tie a Yellow Ribbon Round the Ole Oak Tree,7-Apr,1973,87,239
War,6,2,28-Apr,The Cisco Kid,7-Apr,1973,47,219
Al Green,1,10,14-Apr,Call Me (Come Back Home),14-Apr,1973,77,225
The Sweet,7,3,5-May,Little Willy,21-Apr,1973,71,298
The Temptations,2,7,28-Apr,Masterpiece,21-Apr,1973,100,186
Donny Osmond,4,8,28-Apr,The Twelfth of Never,21-Apr,1973,54,123
Stevie Wonder,7,1,19-May,You Are the Sunshine of My Life,28-Apr,1973,68,166
Stealers Wheel,4,6,12-May,Stuck in the Middle with You,28-Apr,1973,95,322
The Edgar Winter Group,7,1,26-May,Frankenstein,5-May,1973,9999,9999
Dobie Gray,4,5,12-May,Drift Away,5-May,1973,90,328
Elton John,7,2,2-Jun,Daniel,12-May,1973,79,172
Paul McCartney and Wings,9,1,2-Jun,My Love,19-May,1973,47,189
Sylvia,7,3,9-Jun,Pillow Talk,19-May,1973,112,240
Skylark,2,9,26-May,Wildflower,19-May,1973,100,246
Focus,3,9,2-Jun,Hocus Pocus,26-May,1973,36,112
