Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year,Unique Words,Total Words
Martin Denny,7,4,1-Jun,Quiet Village,18-May,1959,41,77
Lloyd Price,10,2,15-Jun,Personality,25-May,1959,48,226
Franck Pourcel's French Fiddles,4,9,1-Jun,Only You (And You Alone),25-May,1959,9999,9999
Freddy Cannon,6,6,29-Jun,Tallahassee Lassie,15-Jun,1959,47,184
Paul Anka,10,1,13-Jul,Lonely Boy,15-Jun,1959,60,164
The Coasters,2,9,22-Jun,Along Came Jones,22-Jun,1959,113,306
Connie Francis,6,5,29-Jun,Lipstick on Your Collar,22-Jun,1959,79,184
Stonewall Jackson,6,4,13-Jul,Waterloo,6-Jul,1959,72,188
Frankie Avalon,1,8,6-Jul,Bobby Sox to Stockings,6-Jul,1959,59,174
Connie Francis,1,9,6-Jul,Frankie,6-Jul,1959,61,139
Fabian,6,3,20-Jul,Tiger,6-Jul,1959,98,294
Carl Dobkins Jr.,7,3,3-Aug,My Heart Is an Open Book,13-Jul,1959,44,169
Frankie Avalon,1,10,13-Jul,A Boy Without a Girl,13-Jul,1959,42,136
Elvis Presley,7,1,10-Aug,A Big Hunk o' Love,20-Jul,1959,74,190
The Drifters,6,2,17-Aug,There Goes My Baby,27-Jul,1959,64,174
Duane Eddy,3,9,27-Jul,Forty Miles of Bad Road,27-Jul,1959,9999,9999
Sammy Turner,6,3,24-Aug,Lavender Blue,3-Aug,1959,38,94
Ricky Nelson,1,9,3-Aug,Sweeter Than You,3-Aug,1959,42,110
Dinah Washington,3,8,10-Aug,What a Diff'rence a Day Makes,10-Aug,1959,63,139
Ray Charles,5,6,17-Aug,What'd I Say,10-Aug,1959,96,597
The Browns,10,1,24-Aug,The Three Bells,17-Aug,1959,99,224
Ricky Nelson,1,9,17-Aug,Just a Little Too Much,17-Aug,1959,91,224
Phil Phillips,6,2,24-Aug,Sea of Love,24-Aug,1959,26,116
Santo & Johnny,9,1,21-Sep,Sleep Walk,24-Aug,1959,9999,9999
Fats Domino,5,8,14-Sep,I Want to Walk You Home,24-Aug,1959,57,197
Lloyd Price,6,3,14-Sep,I'm Gonna Get Married,31-Aug,1959,75,273
Johnny and the Hurricanes,6,5,7-Sep,Red River Rock,31-Aug,1959,147,255
The Everly Brothers,7,4,21-Sep,(Till) I Kissed You,7-Sep,1959,56,211
Sarah Vaughan,4,7,7-Sep,Broken Hearted Melody,7-Sep,1959,74,149
Bobby Darin,16,1,5-Oct,Mack the Knife,14-Sep,1959,127,234
Jan and Dean,1,10,14-Sep,Baby Talk,14-Sep,1959,80,292
Paul Anka,11,2,5-Oct,Put Your Head on My Shoulder,21-Sep,1959,60,143
Sandy Nelson,8,4,19-Oct,Teen Beat,28-Sep,1959,9999,9999
The Fleetwoods,11,1,16-Nov,Mr. Blue,5-Oct,1959,78,176
The Coasters,5,7,12-Oct,Poison Ivy,5-Oct,1959,86,244
Frankie Avalon,4,7,26-Oct,Just Ask Your Heart,12-Oct,1959,36,148
Andy Williams,6,5,9-Nov,Lonely Street,12-Oct,1959,51,118
